_id,_rev,deviceType,deviceId,eventType,format,timestamp,WS_sensorData_NO2,WS_sensorData_NO,WS_sensorData_NOX,WS_sensorData_StWd,WS_sensorData_WDS,WS_sensorData_WDD,WS_sensorData_ITemp,WS_sensorData_O3,WS_sensorData_SO2,WS_sensorData_Filter,WS_sensorData_PM2_5,WS_sensorData_PM10,WS_sensorData_O_Xyle,WS_sensorData_EthylB,WS_sensorData_BENZN,WS_sensorData_TOLUEN,WS_sensorData_TEMP,WS_sensorData_TOL,WS_sensorData_FILTER25,WS_sensorData_PM_10_25,WS_sensorData_BP,WS_sensorData_PREC,WS_sensorData_SR,WS_sensorData_CO,WS_sensorData_RH,WS_sensorData_NO2_TRAFIC,WS_sensorData_NO_TRAFIC,WS_sensorData_NOX_TRAFIC,WS_sensorData_CO_TRAFIC,WSV2_sensorData_BENZN,WSV2_sensorData_TOLUEN,date,time
83ed6e80-7d2f-11e7-a9e4-4d653ae9914c,1-87d61aa49e2d6b149612af090d42350b,WS,Nesher,sensorData,json,2017-08-09T18:21:08.840Z,1,0.1,1.2,,,,,42,,,13,23,0,0,0,0.1,,,,,,,,0.18,,,,,,,,2017-08-09,18:21:08.840Z
84c09d00-7d2f-11e7-b718-a1f91ecfe503,1-11922736b58982fd719277fc08ca96c8,WS,Old-Market,sensorData,json,2017-08-09T18:21:10.224Z,1.2,-0.1,0.9,19.89,2.2,349,25,53.8,3.1,,,,,,,,,,,,,,,,,,,,,,,2017-08-09,18:21:10.224Z
84d29e62-7d2f-11e7-9bd7-e5de34957bf5,1-fa7135cf54f8df93394211ea61016894,WS,Kiryat-Tivon,sensorData,json,2017-08-09T18:21:10.342Z,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2017-08-09,18:21:10.342Z
84d7f590-7d2f-11e7-b718-a1f91ecfe503,1-8145cf6e4a62c301551dcd4d916cd049,WS,Kiryat-Binyamin,sensorData,json,2017-08-09T18:21:10.377Z,7,1,9,24.06,3.2,298,,,,,,,,,,,,,,,,,,,,,,,,,,2017-08-09,18:21:10.377Z
84e05a00-7d2f-11e7-a390-95eec430254a,1-40b4fec427c6e72d4db074764433e4fd,WS,Kiryat-Ata,sensorData,json,2017-08-09T18:21:10.432Z,11.4,-1.3,9.4,24.23,2.5,320,23.2,106,1.1,52,16.9,,,,,,,,,,,,,,,,,,,,,2017-08-09,18:21:10.432Z
84e6e9b0-7d2f-11e7-abea-cbef7d55e47b,1-534ad9e40be780517ca17dc11cc13721,WS,Neve-Shaanan,sensorData,json,2017-08-09T18:21:10.475Z,2.8,0.2,3.2,,3.2,349,,,-0.8,44,,26.3,0,-0.5,-0.09,0,,,,,,,,,,,,,,,,2017-08-09,18:21:10.475Z
84ee8ad0-7d2f-11e7-a9e4-4d653ae9914c,1-4ffd57f0e7cdec1b565316c4742dd2f0,WS,Daliat-el-Carmel,sensorData,json,2017-08-09T18:21:10.525Z,8.3,0.2,8.7,15.86,3.4,317,,,0.9,,18,,-0.2,0.2,-0.24,,27.3,1.3,,,,,,,,,,,,,,2017-08-09,18:21:10.525Z
84f4a550-7d2f-11e7-a9e4-4d653ae9914c,1-cb64e35a74376649de51645079a30079,WS,Igud,sensorData,json,2017-08-09T18:21:10.565Z,3.5,3.6,9,21.84,3.3,274,21.9,73.8,0,19,18.7,43.2,,,,,27.7,,43,24.5,1002,0,213.4,,,,,,,,,2017-08-09,18:21:10.565Z
84fb8320-7d2f-11e7-89bf-73f282b91553,1-4515325056d7780cb916dd33100ab59f,WS,Shprintsak,sensorData,json,2017-08-09T18:21:10.610Z,15.7,1.4,17.9,,2.5,358,21.1,84.2,0.1,5,12.5,22.1,,,,,27.1,,39,9.5,983,0,742.3,0.29,62,,,,,,,2017-08-09,18:21:10.610Z
84fe4241-7d2f-11e7-b718-a1f91ecfe503,1-490024b252224f9dcd46babf9e18f5ee,WS,Ahuza,sensorData,json,2017-08-09T18:21:10.628Z,24.4,4.8,31.9,,,,25.6,72.1,0.4,14,19.2,36.6,,,,,28.5,,2,17.3,1004,0,,-0.04,,,,,,,,2017-08-09,18:21:10.628Z
84ffc8e2-7d2f-11e7-b505-c17b61b93525,1-c2964592c76cc6474143236bc9e546a9,WS,Kiryat-Motzkin,sensorData,json,2017-08-09T18:21:10.638Z,20,1,22,15.44,5.1,337,26.9,98,1.7,,,,,,,,,,,,,,,,,,,,,,,2017-08-09,18:21:10.638Z
850bd6d0-7d2f-11e7-be4c-3f727278eaa3,1-b2002434e6f0db5dbf6266b7f513d32f,WS,Kiryat-Yam,sensorData,json,2017-08-09T18:21:10.717Z,3.2,0.9,4.7,9.11,1.4,271,28.1,,0.4,,,,,,,,29.5,,,,,,,,44,,,,,,,2017-08-09,18:21:10.717Z
850fa760-7d2f-11e7-a9e4-4d653ae9914c,1-230151cb7e60b5f3034276bbf03592ac,WS,Kiryat-Bialik,sensorData,json,2017-08-09T18:21:10.742Z,15.4,5.9,24.5,23.46,1.8,304,26.5,79,0,17,19.6,26,0,0,-0.27,1.3,27.3,,30,,,0,,,58,39,14,61,0.51,,,2017-08-09,18:21:10.742Z
8515c1e0-7d2f-11e7-b718-a1f91ecfe503,1-dcf88da321d8a3a646b6334f12dd19c8,WS,Nesher,sensorData,json,2017-08-09T18:21:10.782Z,1,0.2,1.2,,,,,42,,,13,23,0,0,0,0,,,,,,,,0.18,,,,,,,,2017-08-09,18:21:10.782Z
85da2357-7d2f-11e7-a9e4-4d653ae9914c,1-2d6486c6239af64e3160945d48523707,WS,Old-Market,sensorData,json,2017-08-09T18:21:12.069Z,1.5,0,1.4,20.79,2.2,358,25,56.5,2.6,,,,,,,,,,,,,,,,,,,,,,,2017-08-09,18:21:12.069Z
85e39930-7d2f-11e7-8253-f5ddc2e07eee,1-0b6c65fa0781ea9abeaeac06d8968778,WS,Kiryat-Tivon,sensorData,json,2017-08-09T18:21:12.131Z,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2017-08-09,18:21:12.131Z
